hospital_id,name,type,ownership,emergency_services,rating,location_id,address,city,state,zip_code
010001,SOUTHEAST HEALTH MEDICAL CENTER,Acute Care Hospitals,Government - Hospital District or Authority,Yes,3,1,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36301
010005,MARSHALL MEDICAL CENTERS,Acute Care Hospitals,Government - Hospital District or Authority,Yes,2,2,2505 U S HIGHWAY 431 NORTH,BOAZ,AL,35957
010006,NORTH ALABAMA MEDICAL CENTER,Acute Care Hospitals,Proprietary,Yes,1,3,1701 VETERANS DRIVE,FLORENCE,AL,35630
010007,MIZELL MEMORIAL HOSPITAL,Acute Care Hospitals,Voluntary non-profit - Private,Yes,1,4,702 N MAIN ST,OPP,AL,36467
010008,CRENSHAW COMMUNITY HOSPITAL,Acute Care Hospitals,Proprietary,Yes,Not Available,5,101 HOSPITAL CIRCLE,LUVERNE,AL,36049
010011,ST. VINCENT'S EAST,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3,6,50 MEDICAL PARK EAST DRIVE,BIRMINGHAM,AL,35235
010012,DEKALB REGIONAL MEDICAL CENTER,Acute Care Hospitals,Proprietary,Yes,2,7,200 MED CENTER DRIVE,FORT PAYNE,AL,35968
010016,SHELBY BAPTIST MEDICAL CENTER,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3,8,1000 FIRST STREET NORTH,ALABASTER,AL,35007
010018,CALLAHAN EYE HOSPITAL,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Not Available,9,1720 UNIVERSITY BLVD STE 305,BIRMINGHAM,AL,35233
010019,HELEN KELLER HOSPITAL,Acute Care Hospitals,Government - Hospital District or Authority,Yes,2,10,1300 SOUTH MONTGOMERY AVENUE,SHEFFIELD,AL,35660
010021,DALE MEDICAL CENTER,Acute Care Hospitals,Government - Hospital District or Authority,Yes,2,11,126 HOSPITAL AVE,OZARK,AL,36360
010022,FLOYD CHEROKEE MEDICAL CENTER,Acute Care Hospitals,Proprietary,Yes,Not Available,12,400 NORTHWOOD DR,CENTRE,AL,35960
010023,BAPTIST MEDICAL CENTER SOUTH,Acute Care Hospitals,Government - Hospital District or Authority,Yes,2,13,2105 EAST SOUTH BOULEVARD,MONTGOMERY,AL,36116
010024,JACKSON HOSPITAL & CLINIC INC,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2,14,1725 PINE STREET,MONTGOMERY,AL,36106
010029,THE EAST ALABAMA HEALTHCARE AUTHORITY,Acute Care Hospitals,Government - Hospital District or Authority,Yes,2,15,2000 PEPPERELL PARKWAY,OPELIKA,AL,36801
010033,UNIVERSITY OF ALABAMA HOSPITAL,Acute Care Hospitals,Government - State,Yes,3,16,619 SOUTH 19TH STREET,BIRMINGHAM,AL,35233
010034,COMMUNITY HOSPITAL INC,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Not Available,17,805 FRIENDSHIP ROAD,TALLASSEE,AL,36078
